Simulation ID-3932
===================

1) General info 
-------------------
Simulation type: SIR
Thread ID: 6

2) Initial populations 
-------------------
Susceptible: 129
Infected: 3
Recovered: 0

3) Initial parameters 
-------------------
Mortality rate (m): 0.00166423
Infected mortality rate (v): 0.0207643
Recovery rate (r): 0.187872
Incubation period (I): 0.162586
Infection rate (b): 0.539701

4) Active events 
-------------------
Vaccination

5) Simulation report 
-------------------

| Time  | Susceptible | Infected | Recovered | Total Population | ||| | Births | Deaths - Susceptible | Deaths - Infected | Deaths - Recovered | Deaths - Due To Infection | Deaths - Total | 
|1.693  |71           |30        |28         |129               | ||| |2       |4                     |0                  |0                   |1                          |5               |
|1.702  |71           |29        |29         |129               | ||| |2       |4                     |0                  |0                   |1                          |5               |
|1.712  |70           |30        |29         |129               | ||| |2       |4                     |0                  |0                   |1                          |5               |
|1.721  |69           |31        |29         |129               | ||| |2       |4                     |0                  |0                   |1                          |5               |
|1.731  |68           |32        |29         |129               | ||| |2       |4                     |0                  |0                   |1                          |5               |
|1.740  |67           |33        |29         |129               | ||| |2       |4                     |0                  |0                   |1                          |5               |
|1.748  |67           |32        |30         |129               | ||| |2       |4                     |0                  |0                   |1                          |5               |
|1.757  |66           |33        |30         |129               | ||| |2       |4                     |0                  |0                   |1                          |5               |
|1.766  |65           |34        |30         |129               | ||| |2       |4                     |0                  |0                   |1                          |5               |
|1.775  |64           |35        |30         |129               | ||| |2       |4                     |0                  |0                   |1                          |5               |
|1.784  |64           |34        |31         |129               | ||| |2       |4                     |0                  |0                   |1                          |5               |
|1.792  |64           |33        |32         |129               | ||| |2       |4                     |0                  |0                   |1                          |5               |
|1.801  |63           |34        |32         |129               | ||| |2       |4                     |0                  |0                   |1                          |5               |
|1.810  |62           |35        |32         |129               | ||| |2       |4                     |0                  |0                   |1                          |5               |
|1.819  |62           |34        |33         |129               | ||| |2       |4                     |0                  |0                   |1                          |5               |
|1.828  |61           |35        |33         |129               | ||| |2       |4                     |0                  |0                   |1                          |5               |
|1.836  |60           |36        |33         |129               | ||| |2       |4                     |0                  |0                   |1                          |5               |
|1.845  |59           |37        |33         |129               | ||| |2       |4                     |0                  |0                   |1                          |5               |
|1.853  |58           |38        |33         |129               | ||| |2       |4                     |0                  |0                   |1                          |5               |
|1.862  |58           |37        |34         |129               | ||| |2       |4                     |0                  |0                   |1                          |5               |
|1.870  |57           |38        |34         |129               | ||| |2       |4                     |0                  |0                   |1                          |5               |
|1.879  |57           |37        |34         |128               | ||| |2       |4                     |0                  |0                   |2                          |6               |
|1.887  |57           |36        |35         |128               | ||| |2       |4                     |0                  |0                   |2                          |6               |
|1.896  |56           |37        |35         |128               | ||| |2       |4                     |0                  |0                   |2                          |6               |
|1.905  |56           |36        |35         |127               | ||| |2       |4                     |1                  |0                   |2                          |7               |
|1.913  |55           |37        |35         |127               | ||| |2       |4                     |1                  |0                   |2                          |7               |
|1.922  |55           |36        |36         |127               | ||| |2       |4                     |1                  |0                   |2                          |7               |
|1.931  |54           |37        |36         |127               | ||| |2       |4                     |1                  |0                   |2                          |7               |
|1.940  |53           |38        |36         |127               | ||| |2       |4                     |1                  |0                   |2                          |7               |
|1.948  |52           |39        |36         |127               | ||| |2       |4                     |1                  |0                   |2                          |7               |
|1.957  |51           |40        |36         |127               | ||| |2       |4                     |1                  |0                   |2                          |7               |
|1.965  |51           |39        |37         |127               | ||| |2       |4                     |1                  |0                   |2                          |7               |
|1.974  |51           |38        |38         |127               | ||| |2       |4                     |1                  |0                   |2                          |7               |
|1.982  |51           |37        |39         |127               | ||| |2       |4                     |1                  |0                   |2                          |7               |
|1.991  |51           |36        |39         |126               | ||| |2       |4                     |1                  |0                   |3                          |8               |
|2.001  |51           |35        |40         |126               | ||| |2       |4                     |1                  |0                   |3                          |8               |
|2.010  |51           |34        |41         |126               | ||| |2       |4                     |1                  |0                   |3                          |8               |
|2.020  |50           |35        |41         |126               | ||| |2       |4                     |1                  |0                   |3                          |8               |
|2.029  |50           |34        |42         |126               | ||| |2       |4                     |1                  |0                   |3                          |8               |
|2.039  |49           |35        |42         |126               | ||| |2       |4                     |1                  |0                   |3                          |8               |
|2.049  |49           |34        |43         |126               | ||| |2       |4                     |1                  |0                   |3                          |8               |
|2.059  |49           |33        |43         |125               | ||| |2       |4                     |1                  |0                   |4                          |9               |
|2.069  |49           |32        |44         |125               | ||| |2       |4                     |1                  |0                   |4                          |9               |
|2.080  |49           |31        |45         |125               | ||| |2       |4                     |1                  |0                   |4                          |9               |
|2.090  |49           |30        |46         |125               | ||| |2       |4                     |1                  |0                   |4                          |9               |
|2.102  |49           |29        |47         |125               | ||| |2       |4                     |1                  |0                   |4                          |9               |
|2.113  |48           |30        |47         |125               | ||| |2       |4                     |1                  |0                   |4                          |9               |
|2.124  |47           |31        |47         |125               | ||| |2       |4                     |1                  |0                   |4                          |9               |
|2.135  |47           |30        |48         |125               | ||| |2       |4                     |1                  |0                   |4                          |9               |
|2.147  |46           |31        |48         |125               | ||| |2       |4                     |1                  |0                   |4                          |9               |
|2.158  |46           |30        |49         |125               | ||| |2       |4                     |1                  |0                   |4                          |9               |
|2.170  |46           |29        |50         |125               | ||| |2       |4                     |1                  |0                   |4                          |9               |
|2.181  |46           |28        |51         |125               | ||| |2       |4                     |1                  |0                   |4                          |9               |
